FACTORY ID,KEYTYPE ID,COUNT,UPPER_LIMIT,CRITICAL_LOWER_LIMIT,WARNING_LOWER_LIMIT,LAST_LOADED
CENTRAL,767,10385566,20000000,5000000,10000000,23-APR-2018 17:07:17
CENTRAL,1543,1045000,50000,10000,25000,03-MAY-2018 16:05:50
CENTRAL,1564,2729982,500000,200000,300000,18-JUN-2018 12:01:35
CENTRAL,1548,9800,0,-1,-1,06-JUL-2018 13:58:27
CENTRAL,1462,5623791,1000000,300000,700000,06-JUL-2018 15:31:32
CENTRAL,196,18682088,12000000,4000000,8000000,17-JUL-2018 18:17:53
CENTRAL,803,7416216,2000000,1000000,1500000,20-JUL-2018 17:22:16
CENTRAL,1541,2907913,3000000,1000000,2000000,17-AUG-2018 09:17:44
CENTRAL,162,366246,400000,125000,250000,24-AUG-2018 16:27:58
CENTRAL,1552,1131111,1000000,30000,700000,18-SEP-2018 09:55:59
CENTRAL,1559,6000,0,-1,-1,20-SEP-2018 08:13:13
CENTRAL,1621,5000,0,-1,-1,20-SEP-2018 08:21:13
CENTRAL,118,17681927,23000000,7500000,13000000,25-OCT-2018 15:29:34
CENTRAL,1077,3159473,6000000,1000000,3000000,14-NOV-2018 11:49:24
CENTRAL,902,25263941,15000000,4000000,8000000,14-DEC-2018 14:43:28
CENTRAL,1699,235275,0,-1,-1,20-DEC-2018 14:59:55
CENTRAL,1787,36741,0,-1,-1,04-JAN-2019 11:48:32
CENTRAL,773,2006119,1000000,250000,500000,25-JAN-2019 21:33:37
CENTRAL,1801,270000,0,-1,-1,04-FEB-2019 10:11:19
CENTRAL,1639,451818,300000,100000,150000,15-FEB-2019 15:20:20
CENTRAL,1763,5000,0,-1,-1,25-FEB-2019 08:22:33
CENTRAL,1661,117839,0,-1,-1,07-MAR-2019 07:52:09
CENTRAL,1820,108835,0,-1,-1,14-MAR-2019 09:48:08
CENTRAL,1829,205978,0,-1,-1,14-MAR-2019 09:53:08
CENTRAL,1560,10592632,5000000,1000000,3000000,18-MAR-2019 12:47:12
CENTRAL,1828,190000,100000,25000,50000,18-APR-2019 12:32:17
CENTRAL,1837,259516,10000,3000,7000,07-MAY-2019 11:27:20
CENTRAL,1830,490000,0,-1,-1,08-MAY-2019 07:52:51
CENTRAL,1836,8000,0,-1,-1,08-MAY-2019 07:57:23
CENTRAL,1835,167934,0,-1,-1,08-MAY-2019 08:02:51
CENTRAL,1846,498000,0,-1,-1,23-MAY-2019 14:57:25
CENTRAL,1851,70000,0,-1,-1,28-JUN-2019 13:19:26
CENTRAL,738,2277097,800000,300000,500000,28-JUN-2019 18:54:28
CENTRAL,158,22514919,25000000,8000000,15000000,08-JUL-2019 15:49:59
CENTRAL,900,13527653,15000000,3000000,8000000,02-AUG-2019 11:00:05
CENTRAL,1700,338807,10000,2500,5000,05-AUG-2019 15:02:13
CENTRAL,1899,269999,0,-1,-1,13-AUG-2019 15:12:45
CENTRAL,1825,931892,0,-1,-1,14-AUG-2019 14:12:50
CENTRAL,1880,866601,1000000,300000,700000,14-AUG-2019 15:02:51
CENTRAL,1882,970000,0,-1,-1,15-AUG-2019 09:42:54
CENTRAL,1901,1896678,0,-1,-1,15-AUG-2019 13:50:58
CENTRAL,1905,195736,100000,50000,70000,22-AUG-2019 18:13:04
CENTRAL,1960,300000,0,-1,-1,23-AUG-2019 11:43:07
CENTRAL,1959,56931,0,-1,-1,23-AUG-2019 11:53:07
CENTRAL,1940,272000,0,-1,-1,24-AUG-2019 11:28:10
CENTRAL,1939,212046,100000,50000,70000,10-SEP-2019 10:52:26
CENTRAL,1903,10190000,0,-1,-1,10-SEP-2019 10:57:26
CENTRAL,1337,13365141,10000000,3000000,7000000,26-SEP-2019 15:59:34
CENTRAL,1179,29360204,10000000,4000000,7000000,27-SEP-2019 14:19:42
CENTRAL,2060,357911,0,-1,-1,19-OCT-2019 10:47:34
CENTRAL,1902,5124743,5000000,1500000,2500000,21-OCT-2019 09:33:29
CENTRAL,2100,300000,0,-1,-1,08-NOV-2019 13:42:18
CENTRAL,1080,13604453,6000000,2000000,4000000,12-NOV-2019 15:22:35
CENTRAL,1761,1872190,0,-1,-1,22-NOV-2019 09:45:27
CENTRAL,2126,289000,500,100,400,22-NOV-2019 15:40:27
CENTRAL,1827,5949975,5000000,1500000,2500000,06-DEC-2019 07:47:57
CENTRAL,221,25000,0,-1,-1,06-DEC-2019 09:52:58
CENTRAL,2131,457871,0,-1,-1,06-DEC-2019 11:41:22
CENTRAL,1900,9800,0,-1,-1,11-DEC-2019 10:33:17
CENTRAL,187,12155466,12000000,4000000,8000000,07-JAN-2020 19:43:30
CENTRAL,2129,225927,0,-1,-1,08-JAN-2020 09:08:32
CENTRAL,2141,556991,0,-1,-1,08-JAN-2020 09:13:32
CENTRAL,2168,5549777,3000000,1000000,2000000,14-JAN-2020 11:53:20
CENTRAL,2162,100000,0,-1,-1,31-JAN-2020 13:33:46
CENTRAL,2163,2856156,2000000,500000,1000000,31-JAN-2020 14:03:47
CENTRAL,1823,4693971,3000000,1000000,2000000,09-FEB-2020 22:57:48
CENTRAL,1039,8940003,10000000,3000000,7000000,17-MAR-2020 15:56:04
CENTRAL,1099,16349027,10000000,4000000,6000000,17-MAR-2020 16:26:04
CENTRAL,1078,24215312,15000000,4000000,9000000,17-MAR-2020 18:11:24
CENTRAL,2199,5000,0,-1,-1,18-MAR-2020 13:36:27
CENTRAL,2201,220000,0,-1,-1,18-MAR-2020 13:46:11
CENTRAL,2061,10000,0,-1,-1,18-MAR-2020 13:51:11
CENTRAL,1999,20000,0,-1,-1,27-MAR-2020 11:27:02
CENTRAL,2000,170000,0,-1,-1,27-MAR-2020 11:32:02
CENTRAL,2001,2990000,3000000,700000,1500000,27-MAR-2020 11:36:43
CENTRAL,2104,9900,0,-1,-1,09-APR-2020 08:52:20
CENTRAL,2103,295000,45000,13500,27000,09-APR-2020 09:07:20
CENTRAL,2222,15928,0,-1,-1,09-APR-2020 13:57:20
CENTRAL,2167,197183,0,-1,-1,10-APR-2020 08:17:22
CENTRAL,2102,6000000,3000000,1000000,2000000,16-APR-2020 16:13:08
CENTRAL,1834,10000000,0,-1,-1,17-APR-2020 16:52:42
