"ProductGroupNm","YearQuarterTxt","SpeedDesignId","DesignItemMilestone","MfgLocationStage","KF_Qty"
"RAZOR LAKE","202704","10051728","QS","FINISH","699520"
"RAZOR LAKE","202704","10051728","QS","TEST","758042"
"RAZOR LAKE","202704","10053366","POS","FINISH","107508"
"RAZOR LAKE","202704","10053366","POS","TEST","113273"
"RAZOR LAKE","202704","10053366","QS","FINISH","29615"
"RAZOR LAKE","202704","10053366","QS","TEST","141146"
"RAZOR LAKE","202704","10061167","POS","FINISH","14951"
"RAZOR LAKE","202704","10061167","POS","TEST","14190"
"RAZOR LAKE","202704","10061167","QS","FINISH","544652"
"RAZOR LAKE","202704","10061167","QS","TEST","505979"
"RAZOR LAKE","202704","10072807","POS","FINISH","128128"
"RAZOR LAKE","202704","10072807","POS","TEST","170547"
"RAZOR LAKE","202704","10072807","QS","FINISH","53740"
"RAZOR LAKE","202704","10072807","QS","TEST","128279"
"RAZOR LAKE","202704","10073765","POS","FINISH","56608"
"RAZOR LAKE","202704","10073765","POS","TEST","77120"
"RAZOR LAKE","202704","10077287","POS","FINISH","119103"
"RAZOR LAKE","202704","10077287","POS","TEST","139773"
"RAZOR LAKE","202704","10077287","QS","FINISH","262398"
"RAZOR LAKE","202704","10077287","QS","TEST","288540"
"RAZOR LAKE","202801","10046179","POS","FINISH","116333"
"RAZOR LAKE","202801","10046179","POS","TEST","193200"
"RAZOR LAKE","202801","10046180","POS","FINISH","21192"
"RAZOR LAKE","202801","10046180","POS","TEST","18234"
"RAZOR LAKE","202801","10046180","QS","FINISH","48219"
"RAZOR LAKE","202801","10046180","QS","TEST","13882"
"RAZOR LAKE","202801","10046183","POS","FINISH","40191"
"RAZOR LAKE","202801","10046183","POS","TEST","43470"
"RAZOR LAKE","202801","10046183","QS","FINISH","1143648"
"RAZOR LAKE","202801","10046183","QS","TEST","1096690"
"RAZOR LAKE","202801","10053366","POS","FINISH","11330"
"RAZOR LAKE","202801","10053366","POS","TEST","14907"
"RAZOR LAKE","202801","10053366","QS","FINISH","666229"
"RAZOR LAKE","202801","10053366","QS","TEST","539888"
"RAZOR LAKE","202801","10072807","QS","FINISH","640525"
"RAZOR LAKE","202801","10072807","QS","TEST","646973"
"RAZOR LAKE","202801","10073765","POS","FINISH","94224"
"RAZOR LAKE","202801","10073765","POS","TEST","107050"
"RAZOR LAKE","202801","10073765","QS","FINISH","63342"
"RAZOR LAKE","202801","10073765","QS","TEST","81570"
"RAZOR LAKE","202802","10046179","POS","FINISH","27456"
"RAZOR LAKE","202802","10046179","POS","TEST","26773"
"RAZOR LAKE","202802","10046179","QS","FINISH","145489"
"RAZOR LAKE","202802","10046179","QS","TEST","170008"
"RAZOR LAKE","202802","10072807","QS","FINISH","308876"
"RAZOR LAKE","202802","10072807","QS","TEST","314653"
"RAZOR LAKE","202802","10073765","QS","FINISH","63263"
"RAZOR LAKE","202802","10073765","QS","TEST","57769"
"NOVA LAKE","202803","10044315","QS","TEST","346494"
