"ProductGroupNm","DesignItemDsc","RevStepCd","SpeedDesignId","YearQuarterTxt","YearMonthTxt","MfgLocationCd","DesignItemMilestone","MfgLocationStage","KF_Qty"
"NOVA LAKE","NOVA LAKE S 16C PRODUCT-TEST","B1","10044320","202701","202701","T31","QS","TEST","2760"
"NOVA LAKE","NOVA LAKE S 16C PRODUCT-TEST","B1","10044320","202701","202703","T31","QS","TEST","67627"
"NOVA LAKE","NOVA LAKE S 16C PRODUCT-TEST","B6","10044320","202604","202612","T31","POS","TEST","79200"
"NOVA LAKE","NOVA LAKE S 16C PRODUCT-TEST","B6","10044320","202702","202705","T31","POS","TEST","12000"
"NOVA LAKE","NOVA LAKE S 28C BLLC PRODUCT","A0","10056462","202604","202612","T31","POS","FINISH","94800"
"NOVA LAKE","NOVA LAKE S 28C BLLC PRODUCT","A0","10056462","202701","202701","T31","POS","FINISH","201000"
"NOVA LAKE","NOVA LAKE S 28C BLLC PRODUCT","A1","10056462","202603","202609","T31","QS","FINISH","95914"
"NOVA LAKE","NOVA LAKE S 28C BLLC PRODUCT","A1","10056462","202604","202612","T31","QS","FINISH","216000"
"NOVA LAKE","NOVA LAKE S 28C BLLC PRODUCT","A1","10056462","202701","202703","T31","QS","FINISH","12000"
"NOVA LAKE","NOVA LAKE S 28C BLLC PRODUCT","A6","10056462","202604","202612","T31","POS","FINISH","266160"
"NOVA LAKE","NOVA LAKE S 28C BLLC PRODUCT","A6","10056462","202701","202701","T31","POS","FINISH","142320"
"NOVA LAKE","NOVA LAKE S 28C BLLC PRODUCT-TEST","A0","10056462","202604","202612","T31","POS","TEST","408000"
"NOVA LAKE","NOVA LAKE S 28C BLLC PRODUCT-TEST","A0","10056462","202701","202701","T31","POS","TEST","66000"
"NOVA LAKE","NOVA LAKE S 28C BLLC PRODUCT-TEST","A1","10056462","202603","202609","T31","QS","TEST","44306"
"NOVA LAKE","NOVA LAKE S 28C BLLC PRODUCT-TEST","A1","10056462","202604","202611","T31","QS","TEST","24000"
"NOVA LAKE","NOVA LAKE S 28C BLLC PRODUCT-TEST","A1","10056462","202604","202612","T31","QS","TEST","192000"
"NOVA LAKE","NOVA LAKE S 28C BLLC PRODUCT-TEST","A1","10056462","202701","202702","T11","QS","TEST","7344"
"NOVA LAKE","NOVA LAKE S 28C BLLC PRODUCT-TEST","A1","10056462","202701","202703","T11","QS","TEST","9180"
"NOVA LAKE","NOVA LAKE S 28C BLLC PRODUCT-TEST","A1","10056462","202701","202703","T31","QS","TEST","12000"
"NOVA LAKE","NOVA LAKE S 28C BLLC PRODUCT-TEST","A1","10056462","202702","202704","T11","QS","TEST","7344"
"NOVA LAKE","NOVA LAKE S 28C BLLC PRODUCT-TEST","A1","10056462","202702","202705","T11","QS","TEST","6417"
"NOVA LAKE","NOVA LAKE S 28C BLLC PRODUCT-TEST","A6","10056462","202604","202612","T31","POS","TEST","331440"
"NOVA LAKE","NOVA LAKE S 28C BLLC PRODUCT-TEST","A6","10056462","202701","202701","T31","POS","TEST","77040"
"NOVA LAKE","NOVA LAKE S 28C PRODUCT","C1","10053348","202603","202609","T31","QS","FINISH","391000"
"NOVA LAKE","NOVA LAKE S 28C PRODUCT","C1","10053348","202603","202609","VAL","POS","FINISH","9888"
"NOVA LAKE","NOVA LAKE S 28C PRODUCT","C1","10053348","202604","202610","T31","QS","FINISH","180000"
"NOVA LAKE","NOVA LAKE S 28C PRODUCT","C1","10053348","202604","202611","T31","QS","FINISH","79200"
"NOVA LAKE","NOVA LAKE S 28C PRODUCT","C1","10053348","202604","202612","T31","QS","FINISH","48766"
"NOVA LAKE","NOVA LAKE S 28C PRODUCT","C1","10053348","202701","202701","T31","QS","FINISH","120600"
"NOVA LAKE","NOVA LAKE S 28C PRODUCT","C1","10053348","202701","202702","T31","QS","FINISH","144979"
"NOVA LAKE","NOVA LAKE S 28C PRODUCT-TEST","C1","10053348","202603","202609","T31","QS","TEST","558460"
"NOVA LAKE","NOVA LAKE S 28C PRODUCT-TEST","C1","10053348","202603","202609","VAL","POS","TEST","10022"
"NOVA LAKE","NOVA LAKE S 28C PRODUCT-TEST","C1","10053348","202604","202610","T31","QS","TEST","60000"
"NOVA LAKE","NOVA LAKE S 28C PRODUCT-TEST","C1","10053348","202604","202611","T31","QS","TEST","104140"
"NOVA LAKE","NOVA LAKE S 28C PRODUCT-TEST","C1","10053348","202604","202612","T31","QS","TEST","24692"
"NOVA LAKE","NOVA LAKE S 28C PRODUCT-TEST","C1","10053348","202701","202701","T31","QS","TEST","261000"
"NOVA LAKE","NOVA LAKE S 28C PRODUCT-TEST","C1","10053348","202701","202702","T31","QS","TEST","65015"
"NOVA LAKE","NOVA LAKE S 28C PRODUCT-TEST","C1","10053348","202701","202703","T31","QS","TEST","12000"
"NOVA LAKE","NOVA LAKE S 52C BLLC PRODUCT","B0","10071900","202603","202609","VAL","POS","FINISH","39582"
"NOVA LAKE","NOVA LAKE S 52C BLLC PRODUCT","B0","10071900","202701","202702","T31","POS","FINISH","15000"
"NOVA LAKE","NOVA LAKE S 52C BLLC PRODUCT","B1","10071900","202603","202609","VAL","POS","FINISH","16120"
"NOVA LAKE","NOVA LAKE S 52C BLLC PRODUCT","B1","10071900","202604","202611","T31","QS","FINISH","4800"
"NOVA LAKE","NOVA LAKE S 52C BLLC PRODUCT","B1","10071900","202701","202701","T31","QS","FINISH","32928"
"NOVA LAKE","NOVA LAKE S 52C BLLC PRODUCT","B1","10071900","202701","202701","VAL","POS","FINISH","23854"
"NOVA LAKE","NOVA LAKE S 52C BLLC PRODUCT","B1","10071900","202701","202702","T31","QS","FINISH","86764"
"NOVA LAKE","NOVA LAKE S 52C BLLC PRODUCT","B1","10071900","202701","202702","VAL","POS","FINISH","11926"
"NOVA LAKE","NOVA LAKE S 52C BLLC PRODUCT","B1","10071900","202701","202703","T31","QS","FINISH","431158"
"NOVA LAKE","NOVA LAKE S 52C BLLC PRODUCT","B1","10071900","202702","202704","T31","QS","FINISH","91038"
"NOVA LAKE","NOVA LAKE S 52C BLLC PRODUCT-TEST","B0","10071900","202603","202609","T11","POS","TEST","12256"
"NOVA LAKE","NOVA LAKE S 52C BLLC PRODUCT-TEST","B0","10071900","202603","202609","VAL","POS","TEST","64400"
"NOVA LAKE","NOVA LAKE S 52C BLLC PRODUCT-TEST","B0","10071900","202604","202610","T11","POS","TEST","24512"
"NOVA LAKE","NOVA LAKE S 52C BLLC PRODUCT-TEST","B0","10071900","202604","202611","T11","POS","TEST","36768"
"NOVA LAKE","NOVA LAKE S 52C BLLC PRODUCT-TEST","B0","10071900","202604","202612","T11","POS","TEST","22032"
"NOVA LAKE","NOVA LAKE S 52C BLLC PRODUCT-TEST","B0","10071900","202701","202702","T31","POS","TEST","15000"
"NOVA LAKE","NOVA LAKE S 52C BLLC PRODUCT-TEST","B1","10071900","202603","202609","VAL","POS","TEST","16406"
